user_id,song_id,genre,language,type,weather,timeOfDay,timestamp
690f6586822864ba799ef3a3,68b546380d3e2ed9d34d0660,Ballad,Mandarin,Normal,,,2025-11-08T15:45:23.450Z
690f6586822864ba799ef3a3,6826ece55e56db0c7cdc2a76,Ballad,Japanese,Normal,,,2025-11-08T15:46:13.589Z
690f6586822864ba799ef3a3,68df7d92ef4a82e60a0537d5,Ballad,Mandarin,Normal,Clouds,day,2025-11-28T07:47:36.642Z
690f6586822864ba799ef3a3,68b546380d3e2ed9d34d0660,Ballad,Mandarin,Normal,Clouds,day,2025-11-28T07:47:58.250Z
690f6586822864ba799ef3a3,68df798676970824ed113fc1,Pop,Mandarin,Normal,Clouds,day,2025-11-28T07:49:38.951Z
690f6586822864ba799ef3a3,68df761876970824ed113f75,Indie,English,Normal,Clouds,day,2025-11-28T07:51:10.331Z
690f6586822864ba799ef3a3,68df97aeeee6f3e299741e1b,Rock,English,Normal,Rain,night,2025-11-28T13:29:33.809Z
690f6586822864ba799ef3a3,68df962deee6f3e299741e09,Pop,English,Normal,Rain,night,2025-11-28T13:29:59.590Z
690f6586822864ba799ef3a3,68df962deee6f3e299741e09,Pop,English,Normal,Rain,night,2025-11-28T13:30:49.088Z
690f6586822864ba799ef3a3,68df97aeeee6f3e299741e1b,Rock,English,Normal,Rain,night,2025-11-28T13:30:51.424Z
690f6586822864ba799ef3a3,68df962deee6f3e299741e09,Pop,English,Normal,Rain,night,2025-11-28T13:30:54.345Z
690f6586822864ba799ef3a3,68df97aeeee6f3e299741e1b,Rock,English,Normal,Rain,night,2025-11-28T13:30:55.776Z
690f6586822864ba799ef3a3,68df996feee6f3e299741e47,Indie,English,Normal,Rain,night,2025-11-28T13:31:05.339Z
690f6586822864ba799ef3a3,68df97aeeee6f3e299741e1b,Rock,English,Normal,Rain,night,2025-11-28T13:31:17.889Z
690f6586822864ba799ef3a3,68df996feee6f3e299741e47,Indie,English,Normal,Rain,night,2025-11-28T13:31:22.147Z
690f6586822864ba799ef3a3,68df7d92ef4a82e60a0537d5,Ballad,Mandarin,Normal,Clouds,day,2025-12-02T09:23:14.372Z
690f6586822864ba799ef3a3,6826ece55e56db0c7cdc2a76,Ballad,Japanese,Normal,Clouds,day,2025-12-02T09:23:32.602Z
690f6586822864ba799ef3a3,68df798676970824ed113fc1,Pop,Mandarin,Normal,Clouds,day,2025-12-02T09:24:08.189Z
690f6586822864ba799ef3a3,6826ece55e56db0c7cdc2a76,Ballad,Japanese,Normal,Clouds,day,2025-12-02T09:24:14.958Z
690f6586822864ba799ef3a3,68df7d92ef4a82e60a0537d5,Ballad,Mandarin,Normal,Clouds,day,2025-12-02T09:24:22.755Z
690f6586822864ba799ef3a3,6826ece55e56db0c7cdc2a76,Ballad,Japanese,Normal,Clouds,day,2025-12-02T09:24:26.534Z
690f6586822864ba799ef3a3,68df7d92ef4a82e60a0537d5,Ballad,Mandarin,Normal,Clouds,day,2025-12-02T09:24:51.998Z
690f6586822864ba799ef3a3,68df798676970824ed113fc1,Pop,Mandarin,Normal,Clouds,day,2025-12-02T09:24:55.058Z
690f6586822864ba799ef3a3,6826ece55e56db0c7cdc2a76,Ballad,Japanese,Normal,Clouds,day,2025-12-02T09:24:57.677Z
