song_id_encoded,genre_encoded,language_encoded,type_encoded,weather_encoded,timeOfDay_encoded
6,5,2,1,0,0
2,0,2,1,0,0
7,0,2,1,0,0
6,5,2,1,0,0
1,0,1,1,0,0
6,5,2,1,0,0
2,0,2,1,0,0
1,0,1,1,0,0
2,0,2,1,0,0
6,5,2,1,0,0
0,5,1,0,0,1
17,5,1,1,0,1
22,6,1,1,0,1
18,5,1,1,0,1
31,5,1,0,0,1
33,5,1,0,0,1
16,5,1,1,0,1
20,5,1,1,0,1
31,5,1,0,0,1
