user_id,song_id,genre,language,type,weather,timeOfDay,timestamp
690f66bf822864ba799ef3fc,68df996feee6f3e299741e47,Indie,English,Normal,,,2025-11-08T15:50:35.561Z
690f66bf822864ba799ef3fc,68df94dbeee6f3e299741dd5,Rock,English,Normal,,,2025-11-08T15:50:59.499Z
690f66bf822864ba799ef3fc,68df94dbeee6f3e299741dd5,Rock,English,Normal,,,2025-11-26T14:11:29.211Z
690f66bf822864ba799ef3fc,68df94dbeee6f3e299741dd5,Rock,English,Normal,,,2025-11-26T14:14:21.557Z
690f66bf822864ba799ef3fc,68df94dbeee6f3e299741dd5,Rock,English,Normal,Clouds,night,2025-11-26T14:15:48.840Z
690f66bf822864ba799ef3fc,68df962deee6f3e299741e09,Pop,English,Normal,Clouds,night,2025-11-26T14:16:43.385Z
690f66bf822864ba799ef3fc,68df996feee6f3e299741e47,Indie,English,Normal,Clouds,night,2025-11-26T14:17:18.295Z
690f66bf822864ba799ef3fc,68df962deee6f3e299741e09,Pop,English,Normal,Clouds,night,2025-11-26T14:18:09.131Z
690f66bf822864ba799ef3fc,68df94dbeee6f3e299741dd5,Rock,English,Normal,Clouds,night,2025-11-26T14:18:38.188Z
690f66bf822864ba799ef3fc,68df962deee6f3e299741e09,Pop,English,Normal,Clouds,night,2025-11-26T14:20:25.536Z
690f66bf822864ba799ef3fc,68df94dbeee6f3e299741dd5,Rock,English,Normal,Clouds,night,2025-11-26T14:20:31.493Z
690f66bf822864ba799ef3fc,68df996feee6f3e299741e47,Indie,English,Normal,Clouds,night,2025-11-26T14:21:22.584Z
690f66bf822864ba799ef3fc,68df94dbeee6f3e299741dd5,Rock,English,Normal,Clouds,night,2025-11-26T14:21:55.199Z
690f66bf822864ba799ef3fc,68df962deee6f3e299741e09,Pop,English,Normal,Clouds,night,2025-11-26T14:21:57.458Z
690f66bf822864ba799ef3fc,68df996feee6f3e299741e47,Indie,English,Normal,Clouds,night,2025-11-26T14:22:02.546Z
690f66bf822864ba799ef3fc,68df761876970824ed113f75,Indie,English,Normal,Clouds,night,2025-11-26T14:22:22.229Z
690f66bf822864ba799ef3fc,68df97aeeee6f3e299741e1b,Rock,English,Normal,Rain,day,2025-11-27T08:32:33.410Z
690f66bf822864ba799ef3fc,68df706aa3bd292ad27fbc12,Jazz,Mandarin,Normal,Rain,day,2025-11-27T08:32:45.651Z
690f66bf822864ba799ef3fc,68b546380d3e2ed9d34d0660,Ballad,Mandarin,Normal,Rain,day,2025-11-27T08:32:58.102Z
690f66bf822864ba799ef3fc,68df798676970824ed113fc1,Pop,Mandarin,Normal,Rain,day,2025-11-27T08:33:19.768Z
690f66bf822864ba799ef3fc,68df7d92ef4a82e60a0537d5,Ballad,Mandarin,Normal,Rain,day,2025-11-27T08:33:30.704Z
690f66bf822864ba799ef3fc,68b546380d3e2ed9d34d0660,Ballad,Mandarin,Normal,Rain,day,2025-11-27T08:33:45.277Z
690f66bf822864ba799ef3fc,68df798676970824ed113fc1,Pop,Mandarin,Normal,Rain,day,2025-11-27T08:47:24.306Z
