song_id,genre,language,type,song_id_encoded,genre_encoded,language_encoded,type_encoded
68df996feee6f3e299741e47,Indie,English,Normal,13,3,0,1
68df97daeee6f3e299741e2d,Pop,English,Normal,12,5,0,1
68df97aeeee6f3e299741e1b,Rock,English,Normal,11,6,0,1
68df962deee6f3e299741e09,Pop,English,Normal,10,5,0,1
68df9538eee6f3e299741df2,Electronic,English,Normal,9,1,0,1
68df94dbeee6f3e299741dd5,Rock,English,Normal,8,6,0,1
68df7d92ef4a82e60a0537d5,Ballad,Mandarin,Normal,7,0,2,1
68df798676970824ed113fc1,Pop,Mandarin,Normal,6,5,2,1
68df792c76970824ed113fa1,Hip-Hop,Mandarin,Normal,5,2,2,1
68df761876970824ed113f75,Indie,English,Normal,4,3,0,1
68df706aa3bd292ad27fbc12,Jazz,Mandarin,Normal,3,4,2,1
68b546380d3e2ed9d34d0660,Ballad,Mandarin,Normal,2,0,2,1
6826ece55e56db0c7cdc2a76,Ballad,Japanese,Normal,1,0,1,1
6826d6abc88f88d696315f8d,Pop,Japanese,Instrumental,0,5,1,0
