song_id_encoded,genre_encoded,language_encoded,type_encoded
2,0,2,1
1,0,1,1
7,0,2,1
2,0,2,1
6,5,2,1
4,3,0,1
11,6,0,1
10,5,0,1
10,5,0,1
11,6,0,1
10,5,0,1
11,6,0,1
13,3,0,1
11,6,0,1
13,3,0,1
7,0,2,1
1,0,1,1
6,5,2,1
1,0,1,1
7,0,2,1
1,0,1,1
7,0,2,1
6,5,2,1
1,0,1,1
